GEO_ID,NAME,TOTAL,WHITE,BLACK,AIAH,ASIAN,NHOPI,OTHER,TWOMORE
1500000US421010041031,"Block Group 1, Census Tract 41.03, Philadelphia County, Pennsylvania",1705,747,65,25,416,0,348,104
1500000US421010041032,"Block Group 2, Census Tract 41.03, Philadelphia County, Pennsylvania",2568,419,180,34,1228,0,536,171
1500000US421010041041,"Block Group 1, Census Tract 41.04, Philadelphia County, Pennsylvania",1465,727,49,6,403,0,203,77
1500000US421010041042,"Block Group 2, Census Tract 41.04, Philadelphia County, Pennsylvania",3096,867,234,27,1225,1,541,201
1500000US421010042011,"Block Group 1, Census Tract 42.01, Philadelphia County, Pennsylvania",711,616,9,0,25,0,14,47
1500000US421010042012,"Block Group 2, Census Tract 42.01, Philadelphia County, Pennsylvania",2100,1499,87,1,307,0,118,88
1500000US421010042013,"Block Group 3, Census Tract 42.01, Philadelphia County, Pennsylvania",786,717,2,1,14,0,14,38
1500000US421010042014,"Block Group 4, Census Tract 42.01, Philadelphia County, Pennsylvania",1690,1213,94,3,170,0,126,84
1500000US421010042021,"Block Group 1, Census Tract 42.02, Philadelphia County, Pennsylvania",1514,1117,71,2,217,0,53,54
1500000US421010042022,"Block Group 2, Census Tract 42.02, Philadelphia County, Pennsylvania",1465,706,153,7,419,2,97,81
1500000US421010042023,"Block Group 3, Census Tract 42.02, Philadelphia County, Pennsylvania",1413,936,53,8,289,0,72,55
1500000US421010042024,"Block Group 4, Census Tract 42.02, Philadelphia County, Pennsylvania",869,636,24,1,123,0,27,58
1500000US421010054001,"Block Group 1, Census Tract 54, Philadelphia County, Pennsylvania",1191,154,876,9,76,1,14,61
1500000US421010055001,"Block Group 1, Census Tract 55, Philadelphia County, Pennsylvania",1955,160,1625,1,72,0,47,50
1500000US421010055002,"Block Group 2, Census Tract 55, Philadelphia County, Pennsylvania",1021,108,750,3,77,0,31,52
1500000US421010055003,"Block Group 3, Census Tract 55, Philadelphia County, Pennsylvania",917,54,761,0,56,0,16,30
1500000US421010055004,"Block Group 4, Census Tract 55, Philadelphia County, Pennsylvania",1605,92,1368,1,80,0,30,34
1500000US421010056001,"Block Group 1, Census Tract 56, Philadelphia County, Pennsylvania",1061,79,848,4,36,0,30,64
1500000US421010060001,"Block Group 1, Census Tract 60, Philadelphia County, Pennsylvania",2332,262,1829,11,113,0,46,71
1500000US421010060002,"Block Group 2, Census Tract 60, Philadelphia County, Pennsylvania",1403,207,897,2,269,0,3,25
1500000US421010060003,"Block Group 3, Census Tract 60, Philadelphia County, Pennsylvania",775,35,661,0,39,0,21,19
1500000US421010060004,"Block Group 4, Census Tract 60, Philadelphia County, Pennsylvania",1371,105,1093,4,111,0,24,34
1500000US421010060005,"Block Group 5, Census Tract 60, Philadelphia County, Pennsylvania",726,45,554,0,85,0,16,26
1500000US421010061001,"Block Group 1, Census Tract 61, Philadelphia County, Pennsylvania",2271,174,1735,8,242,1,38,73
1500000US421010061002,"Block Group 2, Census Tract 61, Philadelphia County, Pennsylvania",1109,106,857,0,109,4,4,29
1500000US421010062001,"Block Group 1, Census Tract 62, Philadelphia County, Pennsylvania",1036,45,811,1,71,0,72,36
1500000US421010062002,"Block Group 2, Census Tract 62, Philadelphia County, Pennsylvania",991,48,851,0,25,0,25,42
1500000US421010062003,"Block Group 3, Census Tract 62, Philadelphia County, Pennsylvania",913,54,817,2,17,0,4,19
1500000US421010062004,"Block Group 4, Census Tract 62, Philadelphia County, Pennsylvania",1558,74,1263,3,117,0,51,50
1500000US421010063001,"Block Group 1, Census Tract 63, Philadelphia County, Pennsylvania",686,32,437,1,109,0,43,64
1500000US421010063002,"Block Group 2, Census Tract 63, Philadelphia County, Pennsylvania",965,39,556,4,216,0,93,57
1500000US421010063003,"Block Group 3, Census Tract 63, Philadelphia County, Pennsylvania",902,36,695,0,93,0,31,47
1500000US421010063004,"Block Group 4, Census Tract 63, Philadelphia County, Pennsylvania",1469,40,1240,1,78,0,60,50
1500000US421010064001,"Block Group 1, Census Tract 64, Philadelphia County, Pennsylvania",1340,45,1084,5,129,0,31,46
1500000US421010064002,"Block Group 2, Census Tract 64, Philadelphia County, Pennsylvania",1235,53,1069,1,77,0,14,21
1500000US421010064003,"Block Group 3, Census Tract 64, Philadelphia County, Pennsylvania",1974,82,1538,4,238,2,41,69
1500000US421010065001,"Block Group 1, Census Tract 65, Philadelphia County, Pennsylvania",1486,11,1363,0,16,0,25,71
1500000US421010065002,"Block Group 2, Census Tract 65, Philadelphia County, Pennsylvania",1167,35,1070,7,17,0,17,21
1500000US421010065003,"Block Group 3, Census Tract 65, Philadelphia County, Pennsylvania",2010,19,1856,5,17,0,36,77
1500000US421010066001,"Block Group 1, Census Tract 66, Philadelphia County, Pennsylvania",875,27,664,5,79,1,51,48
1500000US421010066002,"Block Group 2, Census Tract 66, Philadelphia County, Pennsylvania",1233,79,792,0,232,1,67,62
1500000US421010066003,"Block Group 3, Census Tract 66, Philadelphia County, Pennsylvania",1484,19,1317,2,46,1,37,62
